COMBO_COMPANY_ID_18,COMBO_COMPANY_NAME,ACCT_ID_18,ACCT_NM,TEAM_TERRITORY_NAME,ACCT_OWN_FULL_NM,COMBO_LOCKED_CITY,COMBO_LOCKED_STATE,COMBO_LOCKED_INDUSTRY,ACCT_OWN_LVL_4_USR_NM,ACCT_OWN_LVL_5_USR_NM,FY27_C360_AOV,COMBO_EMPLOYEE_COUNT,ACCT_TIER,ATR,FY27 Q1 ACV,FY27 Q2 ACV,H1_FY27_ACV,AVP_REGION,news_has_coverage,news_article_count,news_headlines,news_latest_date,mismatch_category,confidence,key_signals,reasoning,action_recommended,ai_scored
aBR3y000000HLhnGAG,Youfit Health Club,0010M00001SHc2vQAD,Youfit Health Clubs,AMER_PACE_RCG_CMRCL_GB_RETAIL_E_TempCovergae_02,Glenn Harvin,Deerfield Beach,FL,Retail & CG,Marshall Hall,Glenn Harvin,0,3000,Tier 2,0,0,0,0,RCG,False,0,,,Overtiered Risk,High,"Tier Tier 2 | $0 Salesforce spend | Zero external signals | 3,000 employees","**TIER MISMATCH: Tier 2 Without Engagement**

Current Classification: Tier 2 (""High priority accounts"")
What This Should Mean: Strategic focus, dedicated coverage, high revenue potential

**SALESFORCE ENGAGEMENT:**
• H1 FY27 ACV: $0 (zero revenue closed in first half of fiscal year)
• FY27 AOV (Annual Operating Value): $0 (no ongoing Salesforce subscription)
• ATR (Available to Renew): $0 (nothing to renew)
→ Total Salesforce footprint: ZERO

**EXTERNAL SIGNALS:**
• News coverage (past 12 months): ZERO articles
• No media visibility, no growth signals, no market activity detected

**COMPANY PROFILE:**
• Employee count: 3,000
• Industry: Retail & CG
• Location: Deerfield Beach, FL

**ANALYSIS:**
High tier designation without any engagement or external signals suggests one of three scenarios:
(a) Relationship was never successfully developed despite initial tiering
(b) Account went dormant after initial engagement ended
(c) Tier was assigned based on outdated potential assessment

Maintaining high tier for inactive account diverts strategic resources from accounts with actual engagement.","IMMEDIATE ACTION: Downgrade to Tier 3 or 4. Review account history to understand original tier rationale. If relationship cannot be reactivated within 30 days, proceed with downgrade to free up strategic focus.",True
00130000002xT9sAAE,"Central Moloney, Inc.",00130000002xT9sAAE,"Central Moloney, Inc.",AMER_PACE_MAE_CMRCL_MFG_W_MM_NL_W_TempCoverage_01B,Gabrielle Carels,Pine Bluff,AR,"Manufacturing, Automotive & Energy",John Tragas,AMER - PACE - MAE - CMRCL - MFG - W - MM - NL - W - RVP,0,926,Tier 1,0,0,0,0,MFG W,False,0,,,Overtiered Risk,High,Tier Tier 1 | $0 Salesforce spend | Zero external signals | 926 employees,"**TIER MISMATCH: Tier 1 Without Engagement**

Current Classification: Tier 1 (""Strategic accounts"")
What This Should Mean: Strategic focus, dedicated coverage, high revenue potential

**SALESFORCE ENGAGEMENT:**
• H1 FY27 ACV: $0 (zero revenue closed in first half of fiscal year)
• FY27 AOV (Annual Operating Value): $0 (no ongoing Salesforce subscription)
• ATR (Available to Renew): $0 (nothing to renew)
→ Total Salesforce footprint: ZERO

**EXTERNAL SIGNALS:**
• News coverage (past 12 months): ZERO articles
• No media visibility, no growth signals, no market activity detected

**COMPANY PROFILE:**
• Employee count: 926
• Industry: Manufacturing, Automotive & Energy
• Location: Pine Bluff, AR

**ANALYSIS:**
High tier designation without any engagement or external signals suggests one of three scenarios:
(a) Relationship was never successfully developed despite initial tiering
(b) Account went dormant after initial engagement ended
(c) Tier was assigned based on outdated potential assessment

Maintaining high tier for inactive account diverts strategic resources from accounts with actual engagement.","IMMEDIATE ACTION: Downgrade to Tier 3 or 4. Review account history to understand original tier rationale. If relationship cannot be reactivated within 30 days, proceed with downgrade to free up strategic focus.",True
aBR300000004QsPGAU,Production Resource Group LLC,00130000002xa0FAAQ,Production Resource Group,AMER_PACE_MAE_CMRCL_MFG_E_NJC_GB_02,Andrew Peck,New Windsor,NY,"Manufacturing, Automotive & Energy",Stephen Keller,Lucas Crowley,0,2000,Tier 1,0,0,0,0,MFG E,False,0,,,Overtiered Risk,High,"Tier Tier 1 | $0 Salesforce spend | Zero external signals | 2,000 employees","**TIER MISMATCH: Tier 1 Without Engagement**

Current Classification: Tier 1 (""Strategic accounts"")
What This Should Mean: Strategic focus, dedicated coverage, high revenue potential

**SALESFORCE ENGAGEMENT:**
• H1 FY27 ACV: $0 (zero revenue closed in first half of fiscal year)
• FY27 AOV (Annual Operating Value): $0 (no ongoing Salesforce subscription)
• ATR (Available to Renew): $0 (nothing to renew)
→ Total Salesforce footprint: ZERO

**EXTERNAL SIGNALS:**
• News coverage (past 12 months): ZERO articles
• No media visibility, no growth signals, no market activity detected

**COMPANY PROFILE:**
• Employee count: 2,000
• Industry: Manufacturing, Automotive & Energy
• Location: New Windsor, NY

**ANALYSIS:**
High tier designation without any engagement or external signals suggests one of three scenarios:
(a) Relationship was never successfully developed despite initial tiering
(b) Account went dormant after initial engagement ended
(c) Tier was assigned based on outdated potential assessment

Maintaining high tier for inactive account diverts strategic resources from accounts with actual engagement.","IMMEDIATE ACTION: Downgrade to Tier 3 or 4. Review account history to understand original tier rationale. If relationship cannot be reactivated within 30 days, proceed with downgrade to free up strategic focus.",True
aBR300000004E5FGAU,Hajoca Corporation,0010M00001YFiFOQA1,"Haines, Jones & Cadbury LLC",AMER_PACE_MAE_CMRCL_MFG_E_PMV_GB_02,Annie Ramadan,Lafayette Hill,PA,"Manufacturing, Automotive & Energy",Stephen Keller,Bri Read,0,3500,Tier 2,0,0,0,0,MFG E,False,0,,,Overtiered Risk,High,"Tier Tier 2 | $0 Salesforce spend | Zero external signals | 3,500 employees","**TIER MISMATCH: Tier 2 Without Engagement**

Current Classification: Tier 2 (""High priority accounts"")
What This Should Mean: Strategic focus, dedicated coverage, high revenue potential

**SALESFORCE ENGAGEMENT:**
• H1 FY27 ACV: $0 (zero revenue closed in first half of fiscal year)
• FY27 AOV (Annual Operating Value): $0 (no ongoing Salesforce subscription)
• ATR (Available to Renew): $0 (nothing to renew)
→ Total Salesforce footprint: ZERO

**EXTERNAL SIGNALS:**
• News coverage (past 12 months): ZERO articles
• No media visibility, no growth signals, no market activity detected

**COMPANY PROFILE:**
• Employee count: 3,500
• Industry: Manufacturing, Automotive & Energy
• Location: Lafayette Hill, PA

**ANALYSIS:**
High tier designation without any engagement or external signals suggests one of three scenarios:
(a) Relationship was never successfully developed despite initial tiering
(b) Account went dormant after initial engagement ended
(c) Tier was assigned based on outdated potential assessment

Maintaining high tier for inactive account diverts strategic resources from accounts with actual engagement.","IMMEDIATE ACTION: Downgrade to Tier 3 or 4. Review account history to understand original tier rationale. If relationship cannot be reactivated within 30 days, proceed with downgrade to free up strategic focus.",True
aBR0M000000H5xZWAS,"Affordable Interior Systems, Inc.",0013000000M2PUJAA3,"Affordable Interior Systems, Inc.",AMER_PACE_MAE_CMRCL_MFG_W_MM_NL_E_TempCoverage_04A,Andrew Ketcham,Leominster,MA,"Manufacturing, Automotive & Energy",John Tragas,Chloe LeBaron,0,559,Tier 2,0,0,0,0,MFG W,False,0,,,Overtiered Risk,High,Tier Tier 2 | $0 Salesforce spend | Zero external signals | 559 employees,"**TIER MISMATCH: Tier 2 Without Engagement**

Current Classification: Tier 2 (""High priority accounts"")
What This Should Mean: Strategic focus, dedicated coverage, high revenue potential

**SALESFORCE ENGAGEMENT:**
• H1 FY27 ACV: $0 (zero revenue closed in first half of fiscal year)
• FY27 AOV (Annual Operating Value): $0 (no ongoing Salesforce subscription)
• ATR (Available to Renew): $0 (nothing to renew)
→ Total Salesforce footprint: ZERO

**EXTERNAL SIGNALS:**
• News coverage (past 12 months): ZERO articles
• No media visibility, no growth signals, no market activity detected

**COMPANY PROFILE:**
• Employee count: 559
• Industry: Manufacturing, Automotive & Energy
• Location: Leominster, MA

**ANALYSIS:**
High tier designation without any engagement or external signals suggests one of three scenarios:
(a) Relationship was never successfully developed despite initial tiering
(b) Account went dormant after initial engagement ended
(c) Tier was assigned based on outdated potential assessment

Maintaining high tier for inactive account diverts strategic resources from accounts with actual engagement.","IMMEDIATE ACTION: Downgrade to Tier 3 or 4. Review account history to understand original tier rationale. If relationship cannot be reactivated within 30 days, proceed with downgrade to free up strategic focus.",True
00130000002xY1EAAU,Exit 76 Corporation,00130000002xY1EAAU,Exit 76 Corporation,AMER_PACE_RCG_CMRCL_MM_NL_RETAIL_04,Ivette Johnson,GRAND RAPIDS,MI,Retail & CG,Adam Kassam,Tanner DeVries,0,600,Tier 2,0,0,0,0,RCG,False,0,,,Overtiered Risk,High,Tier Tier 2 | $0 Salesforce spend | Zero external signals | 600 employees,"**TIER MISMATCH: Tier 2 Without Engagement**

Current Classification: Tier 2 (""High priority accounts"")
What This Should Mean: Strategic focus, dedicated coverage, high revenue potential

**SALESFORCE ENGAGEMENT:**
• H1 FY27 ACV: $0 (zero revenue closed in first half of fiscal year)
• FY27 AOV (Annual Operating Value): $0 (no ongoing Salesforce subscription)
• ATR (Available to Renew): $0 (nothing to renew)
→ Total Salesforce footprint: ZERO

**EXTERNAL SIGNALS:**
• News coverage (past 12 months): ZERO articles
• No media visibility, no growth signals, no market activity detected

**COMPANY PROFILE:**
• Employee count: 600
• Industry: Retail & CG
• Location: GRAND RAPIDS, MI

**ANALYSIS:**
High tier designation without any engagement or external signals suggests one of three scenarios:
(a) Relationship was never successfully developed despite initial tiering
(b) Account went dormant after initial engagement ended
(c) Tier was assigned based on outdated potential assessment

Maintaining high tier for inactive account diverts strategic resources from accounts with actual engagement.","IMMEDIATE ACTION: Downgrade to Tier 3 or 4. Review account history to understand original tier rationale. If relationship cannot be reactivated within 30 days, proceed with downgrade to free up strategic focus.",True
0013000000M1gzOAAR,Strack & Van Til Super Market Inc.,0013000000M1gzOAAR,Strack & Van Til Super Market Inc.,AMER_PACE_RCG_CMRCL_GB_RETAIL_W_04,Michael Lipton,Highland,IN,Retail & CG,Marshall Hall,Ashley Ellis,0,2300,Tier 2,0,0,0,0,RCG,False,0,,,Overtiered Risk,High,"Tier Tier 2 | $0 Salesforce spend | Zero external signals | 2,300 employees","**TIER MISMATCH: Tier 2 Without Engagement**

Current Classification: Tier 2 (""High priority accounts"")
What This Should Mean: Strategic focus, dedicated coverage, high revenue potential

**SALESFORCE ENGAGEMENT:**
• H1 FY27 ACV: $0 (zero revenue closed in first half of fiscal year)
• FY27 AOV (Annual Operating Value): $0 (no ongoing Salesforce subscription)
• ATR (Available to Renew): $0 (nothing to renew)
→ Total Salesforce footprint: ZERO

**EXTERNAL SIGNALS:**
• News coverage (past 12 months): ZERO articles
• No media visibility, no growth signals, no market activity detected

**COMPANY PROFILE:**
• Employee count: 2,300
• Industry: Retail & CG
• Location: Highland, IN

**ANALYSIS:**
High tier designation without any engagement or external signals suggests one of three scenarios:
(a) Relationship was never successfully developed despite initial tiering
(b) Account went dormant after initial engagement ended
(c) Tier was assigned based on outdated potential assessment

Maintaining high tier for inactive account diverts strategic resources from accounts with actual engagement.","IMMEDIATE ACTION: Downgrade to Tier 3 or 4. Review account history to understand original tier rationale. If relationship cannot be reactivated within 30 days, proceed with downgrade to free up strategic focus.",True
aBR300000004FpwGAE,Coats Group Plc,0010M00001QlMFMQA3,COATS INC,AMER_PACE_RCG_CMRCL_GB_CG_HMDU_E_04,Luke Olsen,CHARLOTTE,NC,Retail & CG,Marshall Hall,Rebecca Daharsh,0,3868,Tier 2,0,0,0,0,RCG,True,3,Top 100 Apparel Brands Ranked by Annual Sales | The Top 100 Publicly Traded Textile Companies | Coats Group H1 Earnings Call Highlights,2026-08-04,Overtiered Risk,Medium,Tier Tier 2 | $0 Salesforce | 3 articles = active business | Zero conversion,"**TIER MISMATCH: High Tier Without Salesforce Engagement**

Current Classification: Tier 2 (""High priority accounts"")

**SALESFORCE ENGAGEMENT: ZERO**
• H1 FY27 ACV: $0
• FY27 AOV: $0
• No Salesforce adoption despite high-tier status


**NEWS COVERAGE ANALYSIS:**
• Total articles found: 3
• Most recent coverage: 2026-08-04
• Coverage period: Past 12 months

**SPECIFIC EVENTS/HEADLINES IDENTIFIED:**
📊 FINANCIAL: Top 100 Apparel Brands Ranked by Annual Sales
• The Top 100 Publicly Traded Textile Companies
📊 FINANCIAL: Coats Group H1 Earnings Call Highlights

**COMPANY PROFILE:**
• Size: 3,868 employees
• Industry: Retail & CG
• Location: CHARLOTTE, NC

**ANALYSIS:**
This account exhibits a critical mismatch: high strategic tier classification but zero Salesforce footprint. News coverage proves the company is active and operational, which rules out the ""out of business"" scenario. However, 3 articles of coverage combined with zero Salesforce adoption suggests:

• Wrong ICP fit (company may not match Salesforce sweet spot despite size)
• Competitive loss (may have chosen competitor platform)
• Unsuccessful prospecting (unable to convert interest to engagement)
• Aspirational tier (tiered on potential, not actual relationship)

Current tier overstates relationship reality and may be diverting resources from accounts with actual traction.","INVESTIGATE: Pull sales history, competitive intel, and past engagement attempts. Determine if relationship is saveable. If no clear path to engagement within 90 days, downgrade tier to match reality. Document lessons learned for future tier assignments.",True
aBR300000004OIKGA2,Universal Trailer Holdings Corp.,00130000002xWSmAAM,Wells Cargo Inc.,AMER_PACE_MAE_CMRCL_AUE_SE_MM_05,Nate Justice,Sanford,OK,"Manufacturing, Automotive & Energy",AMER - PACE - MAE - CMRCL - AUE - AVP,Jason Fajardo,0,350,Tier 2,0,0,0,0,AUE,False,0,,,Overtiered Risk,High,Tier Tier 2 | $0 Salesforce spend | Zero external signals | 350 employees,"**TIER MISMATCH: Tier 2 Without Engagement**

Current Classification: Tier 2 (""High priority accounts"")
What This Should Mean: Strategic focus, dedicated coverage, high revenue potential

**SALESFORCE ENGAGEMENT:**
• H1 FY27 ACV: $0 (zero revenue closed in first half of fiscal year)
• FY27 AOV (Annual Operating Value): $0 (no ongoing Salesforce subscription)
• ATR (Available to Renew): $0 (nothing to renew)
→ Total Salesforce footprint: ZERO

**EXTERNAL SIGNALS:**
• News coverage (past 12 months): ZERO articles
• No media visibility, no growth signals, no market activity detected

**COMPANY PROFILE:**
• Employee count: 350
• Industry: Manufacturing, Automotive & Energy
• Location: Sanford, OK

**ANALYSIS:**
High tier designation without any engagement or external signals suggests one of three scenarios:
(a) Relationship was never successfully developed despite initial tiering
(b) Account went dormant after initial engagement ended
(c) Tier was assigned based on outdated potential assessment

Maintaining high tier for inactive account diverts strategic resources from accounts with actual engagement.","IMMEDIATE ACTION: Downgrade to Tier 3 or 4. Review account history to understand original tier rationale. If relationship cannot be reactivated within 30 days, proceed with downgrade to free up strategic focus.",True
aBR300000004PEUGA2,"Kent Sporting Goods Company, Inc.",00130000002xbL0AAI,Kent Outdoors,AMER_PACE_RCG_CMRCL_MM_NL_RETAIL_08,Taylor Schlosser,New London,FL,Retail & CG,Adam Kassam,Tanner DeVries,0,575,Tier 1,0,0,0,0,RCG,False,0,,,Overtiered Risk,High,Tier Tier 1 | $0 Salesforce spend | Zero external signals | 575 employees,"**TIER MISMATCH: Tier 1 Without Engagement**

Current Classification: Tier 1 (""Strategic accounts"")
What This Should Mean: Strategic focus, dedicated coverage, high revenue potential

**SALESFORCE ENGAGEMENT:**
• H1 FY27 ACV: $0 (zero revenue closed in first half of fiscal year)
• FY27 AOV (Annual Operating Value): $0 (no ongoing Salesforce subscription)
• ATR (Available to Renew): $0 (nothing to renew)
→ Total Salesforce footprint: ZERO

**EXTERNAL SIGNALS:**
• News coverage (past 12 months): ZERO articles
• No media visibility, no growth signals, no market activity detected

**COMPANY PROFILE:**
• Employee count: 575
• Industry: Retail & CG
• Location: New London, FL

**ANALYSIS:**
High tier designation without any engagement or external signals suggests one of three scenarios:
(a) Relationship was never successfully developed despite initial tiering
(b) Account went dormant after initial engagement ended
(c) Tier was assigned based on outdated potential assessment

Maintaining high tier for inactive account diverts strategic resources from accounts with actual engagement.","IMMEDIATE ACTION: Downgrade to Tier 3 or 4. Review account history to understand original tier rationale. If relationship cannot be reactivated within 30 days, proceed with downgrade to free up strategic focus.",True
